"","Year","CA","OR","WA","ASHOP","FOREIGN","POP","TRI","AFSC","NWFSC.SLOPE","NWFSC.COMBO","OTHER.RESEARCH"
"1",1892,0,0.051730615,0,0,0,0,0,0,0,0,0
"2",1893,0,0.051730615,0,0,0,0,0,0,0,0,0
"3",1894,0,0.051730615,0,0,0,0,0,0,0,0,0
"4",1895,0,0.013301946,0,0,0,0,0,0,0,0,0
"5",1896,0,0.003202595,0,0,0,0,0,0,0,0,0
"6",1897,0,0.003263732,0,0,0,0,0,0,0,0,0
"7",1898,0,0.001847698,0,0,0,0,0,0,0,0,0
"8",1899,0,0.003124784,0,0,0,0,0,0,0,0,0
"9",1900,0,0.00440187,0,0,0,0,0,0,0,0,0
"10",1901,0,0.005679573,0,0,0,0,0,0,0,0,0
"11",1902,0,0.006956659,0,0,0,0,0,0,0,0,0
"12",1903,0,0.008233744,0,0,0,0,0,0,0,0,0
"13",1904,0,0.00951083,0,0,0,0,0,0,0,0,0
"14",1905,0,0.010788533,0,0,0,0,0,0,0,0,0
"15",1906,0,0.012065619,0,0,0,0,0,0,0,0,0
"16",1907,0,0.013342704,0,0,0,0,0,0,0,0,0
"17",1908,0,0.014620408,0.06,0,0,0,0,0,0,0,0
"18",1909,0,0.015897493,0.057142857,0,0,0,0,0,0,0,0
"19",1910,0,0.017174579,0.054285714,0,0,0,0,0,0,0,0
"20",1911,0,0.018451665,0.051428571,0,0,0,0,0,0,0,0
"21",1912,0,0.019729368,0.048571429,0,0,0,0,0,0,0,0
"22",1913,0,0.021006454,0.045714286,0,0,0,0,0,0,0,0
"23",1914,0,0.022283539,0.042857143,0,0,0,0,0,0,0,0
"24",1915,0,0.023560625,0.04,0,0,0,0,0,0,0,0
"25",1916,0,0.024838328,0.396666667,0,0,0,0,0,0,0,0
"26",1917,0,0.026115414,0.753333333,0,0,0,0,0,0,0,0
"27",1918,0,0.027392499,1.11,0,0,0,0,0,0,0,0
"28",1919,0,0.028670203,0.38,0,0,0,0,0,0,0,0
"29",1920,0,0.029947288,0.3,0,0,0,0,0,0,0,0
"30",1921,0,0.031224374,0.28,0,0,0,0,0,0,0,0
"31",1922,0,0.03250146,0.14,0,0,0,0,0,0,0,0
"32",1923,0,0.033779163,0.19,0,0,0,0,0,0,0,0
"33",1924,0,0.035056248,0.46,0,0,0,0,0,0,0,0
"34",1925,0,0.036333334,0.6,0,0,0,0,0,0,0,0
"35",1926,0,0.037611037,1,0,0,0,0,0,0,0,0
"36",1927,0,0.039001134,1.35,0,0,0,0,0,0,0,0
"37",1928,0,0.06508567,1.18,0,0,0,0,0,0,0,0
"38",1929,0,0.102982631,0.69,0,0,0,0,0,0,0,0
"39",1930,0,0.086368167,0.86,0,0,0,0,0,0,0,0
"40",1931,0,0.070489818,0.43,0,0,0,0,0,0,0,0
"41",1932,0,0.105637795,0.37,0,0,0,0,0,0,0,0
"42",1933,0,0.086784137,0.51,0,0,0,0,0,0,0,0
"43",1934,0,0.045929364,2.32,0,0,0,0,0,0,0,0
"44",1935,0,0.080171922,7.71,0,0,0,0,0,0,0,0
"45",1936,0,0.231170184,1.61,0,0,0,0,0,0,0,0
"46",1937,0,0.36499785,2,0,0,0,0,0,0,0,0
"47",1938,0,0.083275495,5.07,0,0,0,0,0,0,0,0
"48",1939,0,0.417856747,8.7,0,0,0,0,0,0,0,0
"49",1940,0.851363636,9.108764805,12.21,0,0,0,0,0,0,0,0
"50",1941,1.312727273,14.03489122,13.64,0,0,0,0,0,0,0,0
"51",1942,0.450909091,26.61338014,18.62,0,0,0,0,0,0,0,0
"52",1943,0.981818182,94.31751265,453.65,0,0,0,0,0,0,0,0
"53",1944,2.805,164.4541866,739.29,0,0,0,0,0,0,0,0
"54",1945,6.732272727,247.1251623,1887.12,0,0,0,0,0,0,0,0
"55",1946,7.323181818,193.1686118,845.86,0,0,0,0,0,0,0,0
"56",1947,2.554545455,167.1981896,385.3,0,0,0,0,0,0,0,0
"57",1948,3.957272727,177.7951477,491.12,0,0,0,0,0,0,0,0
"58",1949,2.023636364,472.9056159,409.49,0,0,0,0,0,0,0,0
"59",1950,1.482727273,690.1047941,675.66,0,0,0,0,0,0,0,0
"60",1951,4.267727273,840.1373151,735.11,0,0,0,0,0,0,0,0
"61",1952,2.865,2030.493805,305.63,0,0,0,0,0,0,0,0
"62",1953,145.945,1223.541447,361.57,0,0,0,0,0,0,0,0
"63",1954,123.4845455,1837.497652,538.76,0,0,0,0,0,0,0,0
"64",1955,22.99181818,1346.391608,555.62,0,0,0,0,0,0,0,0
"65",1956,3.826818182,2563.847988,548.22,0,0,0,0,0,0,0,0
"66",1957,1.432727273,2128.082401,538.52,0,0,0,0,0,0,0,0
"67",1958,2.895454545,1564.925683,530.41,0,0,0,0,0,0,0,0
"68",1959,1.482727273,892.614645,337.02,0,0,0,0,0,0,0,0
"69",1960,10.49909091,1358.7621,928.13,0,0,0,0,0,0,0,0
"70",1961,1.111818182,2061.861162,1179.81,0,0,0,0,0,0,0,0
"71",1962,0.570909091,2584.915713,1725.25,0,0,0,0,0,0,0,0
